isoDateTime	precinctsTransmitted	Rizalito-David	Sara-Duterte	Francis-Pangilinan	Carlos-Serapio	Vicente-Sotto-III	Emmanuel-Lopez	Willie-Ong	Jose-Atienza-Jr	Walden-Bello
2022-05-09T12:27:35.000Z	3456	1357	926748	262613	2305	241687	3762	55988	6854	2555
2022-05-09T12:37:41.000Z	50582	21250	14973051	4632451	34835	4197511	58623	1083423	106280	41593
2022-05-09T12:53:19.000Z	57669	25063	17155745	5276161	40681	4783190	68676	1209536	123410	48193
2022-05-09T13:08:08.000Z	62262	27379	18588524	5696594	44546	5160984	75298	1288562	134905	52656
2022-05-09T13:23:27.000Z	65808	29352	19706564	6017896	47562	5450787	80720	1347892	143990	56083
2022-05-09T13:38:12.000Z	68741	31018	20622870	6286504	50185	5681755	85436	1395113	152283	59010
2022-05-09T13:53:29.000Z	71242	32421	21399912	6506755	52523	5869972	89535	1432778	158922	61558
2022-05-09T14:08:36.000Z	73586	33776	22113108	6708582	54679	6042432	93172	1465916	165222	63896
2022-05-09T14:23:40.000Z	75748	35068	22751617	6894078	56901	6195958	96921	1495178	171137	66106
2022-05-09T14:38:47.000Z	77707	36286	23322041	7051753	58773	6333273	100174	1519929	176656	68077
2022-05-09T14:53:45.000Z	79662	37471	23881718	7211145	60706	6460040	103653	1542447	182312	70186
2022-05-09T15:10:00.000Z	81534	38644	24411764	7356975	62683	6585200	107207	1563021	187882	72278
2022-05-09T15:24:27.000Z	83340	39734	24933207	7497386	64494	6705585	110353	1583262	193471	74184
2022-05-09T15:39:10.000Z	85018	40877	25408391	7630661	66349	6813744	113535	1600997	198695	76117
2022-05-09T15:54:47.000Z	86651	42024	25870289	7758960	68164	6921216	116844	1618713	203856	77921
2022-05-09T16:12:16.000Z	88166	43050	26303202	7873849	69705	7021487	119564	1635028	208471	79568
2022-05-09T16:26:28.000Z	89566	44025	26701951	7980359	71173	7115838	122430	1649507	213060	81099
2022-05-09T16:39:56.000Z	90962	45019	27098199	8089754	72787	7212737	125392	1665266	217855	82642
2022-05-09T16:55:34.000Z	92213	45932	27460167	8186781	74230	7299010	127985	1678570	221819	84106
2022-05-09T17:13:38.000Z	93392	46754	27807699	8276722	75486	7380595	130277	1691320	225428	85421
2022-05-09T17:27:06.000Z	94568	47620	28149587	8367878	76837	7466713	132827	1705520	229164	86841
2022-05-09T18:04:08.000Z	96503	48950	28734066	8515186	79058	7602354	136860	1728297	235650	89075
2022-05-09T18:22:03.000Z	97322	49498	28989429	8579286	79904	7658132	138504	1738259	238330	89974
2022-05-09T18:35:36.000Z	97992	49964	29190769	8635524	80746	7706884	140190	1746482	241027	90840
2022-05-09T19:06:51.000Z	99160	50784	29554604	8724776	82141	7793031	142705	1762404	245479	92107
2022-05-09T19:22:07.000Z	99608	51160	29690071	8760197	82757	7828330	143858	1768484	247250	92641
2022-05-09T19:37:56.000Z	100063	51538	29831689	8796883	83491	7863902	144977	1774900	248860	93225
2022-05-09T20:06:28.000Z	100812	52091	30065495	8858053	84375	7920004	146669	1784490	251463	94134
2022-05-09T20:41:09.000Z	101571	52688	30310743	8917499	85164	7969127	148311	1794371	254125	94996
2022-05-09T21:04:52.000Z	101748	52805	30361891	8929872	85345	7980115	148660	1796149	254723	95156
2022-05-09T21:42:52.000Z	102057	53035	30457913	8955584	85718	7999916	149391	1800248	255718	95499
2022-05-09T23:12:04.000Z	102951	53612	30735256	9021444	86637	8047120	151131	1811085	258634	96490
2022-05-09T23:26:14.000Z	103037	53686	30761585	9027841	86730	8051543	151364	1811914	258994	96612
2022-05-09T23:40:58.000Z	103149	53785	30789058	9037173	86900	8056575	151695	1812904	259379	96753
2022-05-09T23:56:38.000Z	103260	53852	30820528	9045133	87023	8061610	151928	1813859	259746	96885
2022-05-10T00:11:12.000Z	103347	53904	30843161	9050279	87118	8065328	152159	1814743	260011	96989
2022-05-10T00:26:21.000Z	103441	53991	30867297	9058341	87273	8069862	152416	1815643	260394	97120
2022-05-10T00:41:20.000Z	103536	54056	30892243	9064784	87407	8074246	152696	1816619	260723	97260
2022-05-10T00:56:14.000Z	103662	54131	30923509	9075917	87539	8082018	153016	1818159	261106	97396
2022-05-10T01:11:03.000Z	103790	54222	30954579	9087193	87700	8090974	153329	1819903	261489	97577
2022-05-10T01:36:39.000Z	103892	54302	30979687	9095045	87825	8096408	153568	1820784	261858	97697
2022-05-10T01:41:53.000Z	103982	54354	31003239	9101744	87915	8100944	153746	1821735	262203	97798
2022-05-10T01:56:41.000Z	104071	54427	31028555	9106600	88034	8105472	153957	1822527	262548	97896
2022-05-10T02:12:12.000Z	104170	54475	31056384	9113497	88125	8109889	154126	1823499	262781	97991
2022-05-10T02:31:17.000Z	104271	54558	31084305	9120085	88254	8113915	154345	1824300	263045	98112
2022-05-10T02:41:19.000Z	104361	54626	31108575	9126277	88380	8117583	154553	1825232	263310	98216
2022-05-10T02:58:12.000Z	104451	54697	31132387	9133445	88503	8122246	154780	1826351	263578	98341
2022-05-10T03:11:24.000Z	104554	54768	31160840	9142009	88647	8127294	155019	1827649	263888	98468
2022-05-10T03:26:04.000Z	104628	54818	31184002	9146422	88733	8130161	155182	1828343	264107	98558
2022-05-10T03:53:11.000Z	104698	54857	31202591	9151555	88809	8133145	155379	1828992	264314	98611
2022-05-10T04:06:16.000Z	104767	54905	31221947	9155662	88890	8135690	155546	1829524	264496	98716
2022-05-10T04:11:31.000Z	104851	54972	31245008	9161051	88990	8138863	155812	1830259	264803	98811
2022-05-10T04:28:44.000Z	104929	55034	31268766	9166556	89086	8142666	156009	1831225	265057	98905
2022-05-10T04:41:16.000Z	104970	55053	31280191	9169375	89145	8145018	156137	1831620	265197	98952
2022-05-10T05:01:45.000Z	105018	55084	31296238	9171960	89205	8147758	156236	1832204	265363	99002
2022-05-10T05:24:02.000Z	105052	55112	31306723	9173426	89263	8148775	156440	1832713	265507	99038
2022-05-10T05:31:00.000Z	105103	55159	31324296	9176394	89328	8150469	156527	1833323	265635	99084
2022-05-10T05:46:53.000Z	105142	55186	31336367	9178914	89375	8151951	156660	1833885	265811	99137
2022-05-10T05:56:49.000Z	105191	55211	31355071	9181383	89414	8153630	156742	1834299	265908	99168
2022-05-10T06:11:58.000Z	105224	55223	31367252	9183559	89426	8154758	156768	1834715	265953	99192
2022-05-10T06:26:05.000Z	105281	55253	31383834	9185707	89457	8156078	156853	1835300	266054	99238
2022-05-10T06:54:33.000Z	105325	55269	31393059	9187940	89487	8157673	156896	1835661	266114	99261
2022-05-10T07:01:57.000Z	105353	55284	31398584	9190386	89506	8158950	156934	1836097	266190	99288
2022-05-10T07:16:25.000Z	105383	55291	31405346	9192732	89520	8160297	156948	1836875	266222	99306
2022-05-10T07:31:47.000Z	105416	55311	31411919	9194995	89537	8161911	156994	1837611	266270	99339
2022-05-10T07:49:04.000Z	105439	55313	31415328	9196293	89551	8162695	157012	1837991	266291	99348
2022-05-10T08:05:55.000Z	105460	55323	31418899	9197435	89572	8163533	157064	1838287	266346	99359
2022-05-10T08:31:07.000Z	105515	55348	31427611	9199801	89617	8165119	157168	1838983	266449	99401
2022-05-10T08:52:34.000Z	105552	55358	31435335	9202128	89654	8166504	157219	1839577	266523	99428
2022-05-10T09:10:56.000Z	105601	55368	31446502	9205516	89676	8168034	157272	1840540	266619	99454
2022-05-10T10:00:12.000Z	105663	55402	31466425	9209165	89722	8170513	157421	1841849	266790	99509
2022-05-10T10:56:53.000Z	105692	55411	31470403	9210494	89752	8171559	157461	1842292	266872	99532
2022-05-10T11:27:23.000Z	105719	55416	31479666	9212213	89765	8172413	157485	1843143	266902	99549
2022-05-10T11:43:32.000Z	105726	55416	31481672	9212579	89770	8172706	157492	1843467	266920	99551
2022-05-10T12:05:38.000Z	105729	55417	31482073	9212988	89770	8172793	157493	1843554	266921	99553
2022-05-10T12:42:37.000Z	105753	55428	31486366	9214087	89783	8173470	157515	1843804	266978	99560
2022-05-10T13:03:28.000Z	105762	55429	31488716	9215027	89792	8173720	157521	1844114	266998	99568
2022-05-10T13:33:35.000Z	105775	55430	31491979	9216936	89796	8174373	157541	1844639	267027	99573
2022-05-10T14:10:19.000Z	105795	55433	31496158	9218302	89816	8175591	157610	1845472	267123	99587
2022-05-10T15:09:26.000Z	105808	55437	31499848	9219462	89818	8176129	157630	1845825	267158	99593
2022-05-10T16:05:53.000Z	105814	55437	31501412	9219908	89819	8176451	157634	1846164	267179	99600
2022-05-11T04:45:49.000Z	105899	55459	31532161	9224405	89879	8178964	157711	1847401	267311	99663
2022-05-11T05:03:58.000Z	105904	55459	31532789	9224506	89879	8179015	157713	1847452	267313	99667
2022-05-11T05:17:37.000Z	105905	55459	31532789	9224506	89879	8179015	157713	1847452	267313	99667
2022-05-11T05:34:36.000Z	105905	55459	31532789	9224506	89879	8179015	157713	1847452	267313	99667
2022-05-11T06:14:09.000Z	105910	55463	31533999	9224606	89889	8179349	157716	1847489	267319	99670
2022-05-11T08:24:00.000Z	105914	55463	31534501	9224622	89889	8179402	157718	1847540	267330	99671
2022-05-11T08:25:33.000Z	105924	55466	31536431	9225149	89896	8180158	157783	1848164	267347	99672
2022-05-11T08:39:33.000Z	105954	55471	31542919	9227071	89904	8181961	157849	1849971	267457	99694
2022-05-11T09:56:13.000Z	105964	55471	31545967	9227537	89904	8182143	157854	1850227	267465	99698
2022-05-11T11:01:17.000Z	105969	55471	31547470	9227642	89905	8182190	157855	1850234	267466	99701
2022-05-11T12:06:47.000Z	105970	55471	31547618	9227643	89905	8182191	157855	1850240	267466	99701
2022-05-11T13:26:28.000Z	105970	55471	31547618	9227643	89905	8182191	157855	1850240	267466	99701
2022-05-12T04:21:01.000Z	106004	55478	31561196	9232850	89919	8183156	157875	1851366	267528	99738
2022-05-12T05:13:42.000Z	106004	55478	31561196	9232850	89919	8183156	157875	1851366	267528	99738
2022-05-12T06:10:14.000Z	106005	55478	31561295	9232850	89919	8183158	157875	1851368	267528	99738
2022-05-12T07:05:16.000Z	106006	55478	31561494	9232873	89920	8183178	157876	1851373	267528	99740
2022-05-12T11:14:08.000Z	106008	55478	31561775	9232876	89920	8183179	157876	1851382	267528	99740
2022-05-12T11:14:50.000Z	106007	55478	31561775	9232873	89920	8183179	157876	1851382	267528	99740
2022-05-12T13:21:50.000Z	106007	55478	31561775	9232873	89920	8183179	157876	1851382	267528	99740
2022-05-12T13:22:34.000Z	106007	55478	31561775	9232873	89920	8183179	157876	1851382	267528	99740
2022-05-12T13:34:48.000Z	106007	55478	31561775	9232873	89920	8183179	157876	1851382	267528	99740
2022-05-13T04:15:56.000Z	106008	55478	31561948	9232883	89920	8183184	157877	1851498	267530	99740
2022-05-13T05:46:37.000Z	106008	55478	31561948	9232883	89920	8183184	157877	1851498	267530	99740
2022-05-13T06:42:25.000Z	106008	55478	31561948	9232883	89920	8183184	157877	1851498	267530	99740
2022-05-13T07:18:39.000Z	106008	55478	31561948	9232883	89920	8183184	157877	1851498	267530	99740

